,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
0,Mataura,100,NZ,1580135151,96,287.04,1.34,-46.19,168.86
1,Cockburn Town,75,TC,1580134852,69,299.15,4.6,21.46,-71.14
2,Ulaangom,0,MN,1580135151,87,252.78,1.25,49.98,92.07
3,Deputatsky,100,RU,1580135151,75,242.07,1.76,69.3,139.9
4,Mount Isa,90,AU,1580135152,83,299.15,2.6,-20.73,139.5
5,Tambo,95,PE,1580135152,77,285.42,2.64,-14.8,-73.92
6,Jamestown,90,US,1580135152,100,274.15,4.6,42.1,-79.24
7,Port Alfred,62,ZA,1580135152,69,295.37,1.34,-33.59,26.89
8,Bredasdorp,100,ZA,1580135152,46,296.15,4.1,-34.53,20.04
9,Natal,40,BR,1580134976,59,305.15,8.2,-5.79,-35.21
10,George Town,20,MY,1580135099,79,302.15,2.6,5.41,100.34
11,Sabha,67,LY,1580135153,10,298.14,1.98,27.04,14.43
12,Puerto Ayora,75,EC,1580135118,78,299.15,3.1,-0.74,-90.35
13,Paamiut,10,GL,1580135153,63,265.13,9.63,61.99,-49.67
14,Amazar,10,RU,1580135153,97,252.24,0.98,53.86,120.88
15,Byron Bay,40,AU,1580135153,78,299.15,2.1,-28.65,153.62
16,Ushuaia,75,AR,1580134925,54,285.15,6.7,-54.8,-68.3
17,Busselton,0,AU,1580135154,32,297.59,5.37,-33.65,115.33
18,San Patricio,20,MX,1580135154,77,294.15,2.75,19.22,-104.7
19,Upernavik,62,GL,1580135154,95,245.41,1.27,72.79,-56.15
20,Rikitea,13,PF,1580135154,81,299.15,5.51,-23.12,-134.97
21,Tasiilaq,90,GL,1580135154,50,274.15,1.5,65.61,-37.64
22,Jinka,93,ET,1580135155,58,299.8,0.44,5.65,36.65
23,Khatanga,100,RU,1580135045,97,246.7,0.85,71.97,102.5
24,San Julian,0,MX,1580135155,60,285.67,1.02,21.02,-102.17
25,Riyadh,0,SA,1580134923,26,289.15,3.1,24.69,46.72
26,Mergen,50,CN,1580135155,98,254.4,2.56,49.18,125.22
27,Ponta do Sol,40,PT,1580135156,63,292.15,5.7,32.67,-17.1
28,Provideniya,7,RU,1580135156,97,249.16,0.58,64.38,-173.3
29,Mar del Plata,0,AR,1580134890,65,294.82,5.36,-38.0,-57.56
30,Sri Aman,100,MY,1580135156,100,298.15,0.96,1.24,111.46
31,Clarence Town,0,AU,1580135156,73,298.15,3.1,-32.58,151.78
32,Nadadores,5,MX,1580135156,44,287.15,0.9,27.05,-101.6
33,El Batey,20,DO,1580135157,78,300.37,4.1,19.77,-70.52
34,Hithadhoo,2,MV,1580135157,80,300.9,6.23,-0.6,73.08
35,Vaini,20,TO,1580135157,100,297.15,1.0,-21.2,-175.2
36,Vila Franca do Campo,75,PT,1580135157,88,290.15,7.7,37.72,-25.43
37,Butaritari,93,KI,1580135157,79,302.34,9.84,3.07,172.79
38,Wolbrom,20,PL,1580135158,69,278.15,2.6,50.38,19.76
39,Qaanaaq,77,GL,1580135158,58,248.63,0.33,77.48,-69.36
40,Saint George,1,US,1580134909,69,277.15,1.5,37.1,-113.58
